state,city,origin,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,avg5years,pct_change_2018_vs_5yr_average
Texas,Sugar Land,Syria,0,0,0,0,0,0,0,11,0,0,2.2,-100
Utah,Logan,Burma,0,23,2,0,7,4,0,0,0,0,2.2,-100
Utah,West Jordan,Iraq,1,0,0,0,6,5,0,0,0,0,2.2,-100
Vermont,Colchester,Burundi,8,0,0,0,0,0,6,5,0,0,2.2,-100
Virginia,Charlottesville,Burundi,0,0,4,3,0,0,11,0,0,1,2.2,-54.55
Virginia,Manassas,Iraq,0,0,0,5,6,5,0,0,0,0,2.2,-100
Washington,Bellevue,Iraq,0,1,0,0,10,0,1,0,0,0,2.2,-100
Washington,Kennewick,Colombia,0,0,0,0,1,0,6,0,4,5,2.2,127.27
Washington,Maple Valley,Ukraine,0,0,0,0,0,0,0,5,6,4,2.2,81.82
Washington,Newcastle,Iran,0,0,0,2,0,6,5,0,0,0,2.2,-100
Washington,Pasco,Burma,0,0,4,0,0,5,5,1,0,0,2.2,-100
Washington,Puyallup,Ukraine,0,0,0,0,0,0,0,8,3,15,2.2,581.82
Washington,Seattle,Central African Republic,0,0,0,0,0,0,11,0,0,9,2.2,309.09
Washington,Stanwood,Iraq,0,0,0,0,0,0,10,1,0,0,2.2,-100
Washington,Tukwila,Eritrea,3,3,2,0,4,1,2,0,4,0,2.2,-100
Washington,Vancouver,Belarus,0,0,0,0,0,0,0,11,0,10,2.2,354.55
Wisconsin,Milwaukee,Afghanistan,0,5,0,0,1,0,0,10,0,0,2.2,-100
Arizona,Tucson,Republic of South Sudan,0,0,0,0,0,1,0,5,4,0,2,-100
Arkansas,Fayetteville,El Salvador,0,0,0,0,0,0,0,0,10,15,2,650
California,Alhambra,Iran,0,0,0,0,1,0,9,0,0,0,2,-100
California,Antelope,Afghanistan,0,0,0,0,6,0,4,0,0,0,2,-100
California,Carmichael,Iran,1,0,2,1,0,0,2,7,1,0,2,-100
California,Citrus Heights,Iraq,0,0,0,5,0,0,0,6,4,0,2,-100
California,Cypress,Iraq,12,12,0,1,10,0,0,0,0,0,2,-100
California,Elk Grove,Afghanistan,0,0,0,0,7,3,0,0,0,0,2,-100
California,Fontana,Iraq,3,3,1,0,6,4,0,0,0,0,2,-100
California,Fresno,Armenia,0,0,0,0,0,0,5,0,5,0,2,-100
California,Huntington Beach,Iran,8,5,5,0,4,1,0,3,2,0,2,-100
California,Lake Forest,Iran,0,1,3,0,1,3,0,4,2,0,2,-100
California,Long Beach,Iraq,2,11,0,5,3,3,0,0,4,0,2,-100
California,Pico Rivera,Burma,0,0,0,4,7,3,0,0,0,0,2,-100
California,Rio Linda,Russia,0,5,0,0,5,0,5,0,0,10,2,400
California,San Jose,El Salvador,0,0,0,0,0,0,0,3,7,15,2,650
California,San Marcos,Iran,3,0,0,0,4,3,3,0,0,0,2,-100
California,Upland,Iraq,12,1,5,6,1,9,0,0,0,0,2,-100
Colorado,Conifer,Dem. Rep. Congo,0,0,0,0,0,0,0,10,0,0,2,-100
Colorado,Thornton,Somalia,0,0,0,0,0,10,0,0,0,0,2,-100
Connecticut,Bridgeport,Ethiopia,0,0,0,1,0,0,1,9,0,2,2,0
Connecticut,Hartford,Ethiopia,0,0,0,1,4,0,1,4,1,4,2,100
Florida,Altamonte Springs,Cuba,0,2,3,0,6,4,0,0,0,0,2,-100
Florida,Doral,Iraq,0,1,0,4,0,0,0,5,5,0,2,-100
Florida,Doral,Somalia,0,0,0,0,0,0,0,5,5,0,2,-100
Florida,Lake Worth,Iraq,0,0,0,0,0,0,6,0,4,0,2,-100
Florida,Miami Beach,Cuba,20,10,4,2,4,5,0,0,1,0,2,-100
Florida,Oviedo,Sudan,0,0,0,0,10,0,0,0,0,0,2,-100
Florida,Plantation,Ukraine,0,0,0,0,0,0,10,0,0,0,2,-100
Florida,Royal Palm Beach,Cuba,9,0,0,0,7,0,3,0,0,0,2,-100
Georgia,Clarkston,Nepal,0,0,0,1,2,1,1,3,3,1,2,-50
Georgia,Lawrenceville,El Salvador,0,0,0,0,0,0,0,7,3,0,2,-100
Idaho,Twin Falls,Republic of South Sudan,0,0,0,0,0,0,1,0,9,0,2,-100
Illinois,Chicago,Yemen,0,0,0,0,0,0,0,0,10,0,2,-100
Illinois,Palos Heights,Iraq,4,0,0,0,7,1,0,2,0,0,2,-100
Illinois,Saint Charles,Iraq,0,0,0,0,3,3,0,4,0,0,2,-100
Illinois,Warrenville,Iran,0,0,0,7,4,0,0,6,0,0,2,-100
Illinois,Wheaton,Somalia,5,8,3,15,3,1,1,5,0,0,2,-100
Indiana,Fort Wayne,Dem. Rep. Congo,0,1,25,0,7,0,3,0,0,16,2,700
Indiana,Indianapolis,Cuba,5,13,0,0,0,7,3,0,0,0,2,-100
Indiana,Newburgh,Moldova,0,0,0,0,0,0,0,0,10,0,2,-100
Iowa,Clive,Burundi,0,0,0,0,0,0,0,10,0,0,2,-100
Iowa,Iowa City,Iraq,0,2,6,0,8,0,0,0,2,0,2,-100
Iowa,Postville,Somalia,0,0,1,0,0,0,3,5,2,0,2,-100
Kansas,Lawrence,Iraq,0,2,0,0,0,0,10,0,0,0,2,-100
Louisiana,Baton Rouge,Central African Republic,0,0,0,0,9,0,1,0,0,6,2,200
Louisiana,Baton Rouge,Ethiopia,0,5,3,7,3,5,0,2,0,0,2,-100
Maine,Portland,Iran,8,5,0,0,0,6,1,1,2,0,2,-100
Maryland,College Park,Burma,2,1,8,7,5,0,5,0,0,0,2,-100
Massachusetts,Acton,Iraq,0,0,0,0,0,1,9,0,0,0,2,-100
Massachusetts,Dorchester,Iraq,0,9,1,0,4,5,1,0,0,0,2,-100
Massachusetts,Randolph,Dem. Rep. Congo,0,0,0,0,0,0,0,10,0,0,2,-100
Massachusetts,South Boston,Cuba,0,0,0,0,0,7,2,1,0,0,2,-100
Massachusetts,South Boston,Pakistan,0,0,0,0,0,4,0,3,3,0,2,-100
Massachusetts,Woburn,Iraq,73,5,0,4,5,5,0,0,0,0,2,-100
Massachusetts,Worcester,Palestine,0,1,0,0,0,4,5,0,1,0,2,-100
Michigan,Farmington,Iraq,12,5,1,0,1,0,8,0,1,0,2,-100
Michigan,Lansing,Colombia,0,0,0,0,6,0,4,0,0,0,2,-100
Michigan,Lansing,Ethiopia,1,0,1,0,0,0,0,9,1,0,2,-100
Michigan,New Haven,Iraq,0,0,0,0,0,0,4,6,0,0,2,-100
Michigan,Troy,Iran,0,0,0,0,0,0,9,1,0,0,2,-100
Minnesota,Cokato,Ukraine,0,0,0,0,0,0,0,10,0,0,2,-100
Minnesota,New Brighton,Somalia,0,3,0,0,0,9,0,1,0,0,2,-100
Minnesota,Plymouth,Somalia,0,0,0,0,0,10,0,0,0,0,2,-100
Minnesota,Saint Peter,Somalia,9,1,0,0,1,0,7,2,0,0,2,-100
Minnesota,St. Paul,Congo,0,0,0,0,0,0,6,4,0,0,2,-100
Minnesota,Worthington,Ethiopia,0,0,0,0,0,1,0,0,9,0,2,-100
Missouri,Columbia,Cuba,15,10,0,1,3,5,0,2,0,0,2,-100
Nevada,Las Vegas,El Salvador,0,0,0,0,0,0,0,2,8,4,2,100
Nevada,North Las Vegas,Iraq,9,5,6,0,7,2,1,0,0,0,2,-100
New Hampshire,Concord,Iraq,4,4,7,10,0,0,8,2,0,0,2,-100
New Jersey,East Orange,Russia,0,0,0,2,0,7,0,3,0,0,2,-100
New York,Brockport,Ukraine,0,0,0,0,0,0,0,1,9,3,2,50
New York,Bronx,Iraq,7,7,0,15,6,4,0,0,0,0,2,-100
New York,Clay,Afghanistan,0,0,0,0,0,0,0,6,4,0,2,-100
New York,East Rochester,Ukraine,0,0,0,0,0,0,0,4,6,0,2,-100
New York,Flushing,China,4,0,3,6,7,0,1,2,0,1,2,-50
New York,Holley,Ukraine,0,0,0,0,0,2,8,0,0,4,2,100
New York,New York,Cuba,0,0,0,5,9,1,0,0,0,0,2,-100
New York,New York,El Salvador,0,0,0,0,0,0,0,3,7,9,2,350
New York,Penfield,Ukraine,0,0,0,0,0,2,0,0,8,15,2,650
New York,Watertown,Iraq,0,0,2,0,2,0,8,0,0,0,2,-100
North Carolina,Cary,Syria,0,0,0,0,0,0,0,10,0,0,2,-100
North Carolina,Charlotte,Honduras,0,0,0,0,0,0,0,2,8,0,2,-100
North Carolina,Fairview,Moldova,0,0,0,0,0,0,5,5,0,0,2,-100
North Carolina,Raleigh,Colombia,0,3,0,7,1,3,5,1,0,0,2,-100
North Carolina,Winston-Salem,Pakistan,0,0,0,0,0,0,0,5,5,0,2,-100
North Dakota,Fargo,Afghanistan,3,3,5,0,0,3,2,5,0,10,2,400
North Dakota,Fargo,Chad,0,0,0,0,10,0,0,0,0,0,2,-100
North Dakota,Fargo,Iran,1,2,0,0,0,3,3,4,0,0,2,-100
Ohio,Cincinnati,Congo,0,0,0,7,3,0,7,0,0,0,2,-100
Ohio,Dayton,Republic of South Sudan,0,0,0,0,0,0,0,8,2,0,2,-100
Ohio,Huber Heights,Iraq,0,0,0,0,0,3,7,0,0,0,2,-100
Ohio,Kettering,Iraq,0,0,0,0,2,8,0,0,0,0,2,-100
Ohio,Westlake,Iraq,0,0,0,0,3,0,4,3,0,0,2,-100
Oklahoma,Oklahoma City,Afghanistan,4,0,0,0,10,0,0,0,0,0,2,-100
Oklahoma,Tulsa,Iran,0,0,0,2,2,2,4,2,0,0,2,-100
Oregon,Portland,El Salvador,0,0,0,0,0,0,0,2,8,0,2,-100
Pennsylvania,Allentown,Bhutan,0,0,2,10,6,4,0,0,0,0,2,-100
Pennsylvania,Brentwood,Bhutan,0,0,0,0,0,0,0,0,10,8,2,300
Pennsylvania,Elizabethtown,Burma,0,0,5,7,3,2,0,0,5,0,2,-100
Pennsylvania,Enola,Ukraine,0,0,0,0,0,0,0,5,5,0,2,-100
Pennsylvania,Girard,Ukraine,0,0,0,0,0,0,0,10,0,0,2,-100
Pennsylvania,Lancaster,Burundi,0,6,0,0,0,0,10,0,0,0,2,-100
Pennsylvania,Philadelphia,Central African Republic,0,0,0,0,0,0,6,4,0,0,2,-100
Pennsylvania,Philadelphia,Kazakhstan,0,5,4,0,0,0,5,5,0,0,2,-100
South Carolina,Boiling Springs,Ukraine,0,0,0,0,0,0,0,0,10,6,2,200
Tennessee,Chattanooga,Burundi,22,6,0,0,0,0,4,6,0,4,2,100
Tennessee,Germantown,Iraq,0,0,0,0,6,0,0,4,0,0,2,-100
Tennessee,Murfreesboro,Iraq,1,2,0,1,4,6,0,0,0,0,2,-100
Texas,Alvin,Iran,0,0,0,3,7,0,3,0,0,0,2,-100
Texas,Bedford,Iraq,0,3,0,2,8,0,0,0,2,0,2,-100
Texas,Dallas,Honduras,0,0,0,0,0,0,0,6,4,0,2,-100
Texas,Fort Worth,Central African Republic,0,0,0,8,0,0,1,3,6,0,2,-100
Texas,Howe,Burma,0,6,7,7,4,2,4,0,0,1,2,-50
Texas,Katy,Iran,8,1,3,0,0,1,2,7,0,0,2,-100
Texas,Lewisville,Moldova,0,0,0,0,0,0,0,10,0,0,2,-100
Utah,South Salt Lake City,Iraq,0,0,0,5,0,4,3,3,0,0,2,-100
Virginia,Annandale,Iraq,0,1,0,3,3,2,5,0,0,0,2,-100
Virginia,Arlington,El Salvador,0,0,0,0,0,0,0,2,8,4,2,100
Virginia,Arlington,Iraq,24,25,2,1,1,3,0,6,0,0,2,-100
Virginia,Burke,Iraq,7,3,0,2,0,1,0,9,0,0,2,-100
Virginia,Fredericksburg,Pakistan,8,0,0,4,0,4,0,6,0,0,2,-100
Virginia,Harrisonburg,Iran,0,0,0,3,2,4,1,0,3,0,2,-100
Virginia,Harrisonburg,Kyrgyzstan,0,0,0,0,4,0,0,0,6,0,2,-100
Virginia,Roanoke,Eritrea,3,0,0,0,4,1,3,2,0,0,2,-100
Virginia,Sterling,El Salvador,0,0,0,0,0,0,0,0,10,1,2,-50
Washington,Kent,Rwanda,0,0,0,4,6,4,0,0,0,0,2,-100
Washington,Pacific,Iraq,0,0,0,0,0,0,0,0,10,0,2,-100
Washington,West Richland,Uzbekistan,0,0,0,0,0,0,1,0,9,0,2,-100
West Virginia,Washington,Iraq,0,0,0,0,0,0,0,4,6,0,2,-100
Wisconsin,Greenfield,Pakistan,0,0,0,0,0,0,0,10,0,0,2,-100
Wisconsin,Milwaukee,Cuba,7,5,0,2,5,5,0,0,0,0,2,-100
Alaska,Anchorage,Cuba,0,0,0,0,3,6,0,0,0,0,1.8,-100
Arizona,Phoenix,Rwanda,12,16,5,4,0,0,6,1,2,1,1.8,-44.44
California,Calexico,Cuba,0,0,0,0,7,2,0,0,0,0,1.8,-100
California,Chatsworth,Iran,9,10,4,3,1,1,2,5,0,0,1.8,-100
California,Citrus Heights,Belarus,0,0,0,2,0,0,9,0,0,0,1.8,-100
California,Downey,Iraq,1,0,0,0,4,0,0,5,0,0,1.8,-100
California,Fresno,Iran,1,7,4,10,1,4,0,4,0,0,1.8,-100
California,Fullerton,Afghanistan,0,0,0,0,0,0,5,4,0,1,1.8,-44.44
California,Fullerton,Burma,9,3,1,1,1,0,0,1,7,3,1.8,66.67
California,Garden Grove,Burma,5,0,0,0,1,3,4,1,0,0,1.8,-100
California,Hawthorne,Burma,0,0,1,4,0,0,4,5,0,0,1.8,-100
California,Irvine,Syria,0,0,0,0,0,0,0,9,0,0,1.8,-100
California,Lakeside,Iraq,34,10,5,16,2,3,3,0,1,0,1.8,-100
California,Los Angeles,Burma,0,0,6,4,0,0,8,1,0,1,1.8,-44.44
California,Los Angeles,Russia,6,6,0,0,3,0,5,1,0,1,1.8,-44.44
California,Los Gatos,Syria,0,0,0,0,0,0,0,7,2,0,1.8,-100
California,Moorpark,Syria,0,0,0,0,0,0,2,6,1,0,1.8,-100
California,Oakland,Guatemala,0,0,0,0,0,0,0,2,7,0,1.8,-100
California,Orangevale,Ukraine,0,0,0,0,0,0,0,6,3,0,1.8,-100
California,Oxnard,El Salvador,0,0,0,0,0,0,0,0,9,0,1.8,-100
California,Palm Desert,Iraq,0,3,0,6,4,5,0,0,0,0,1.8,-100
California,Palmdale,Iraq,0,1,0,0,2,1,0,6,0,0,1.8,-100
California,San Diego,Russia,0,0,0,2,0,7,0,0,2,0,1.8,-100
California,San Francisco,Russia,11,0,3,0,5,3,0,1,0,0,1.8,-100
California,Torrance,Iran,1,4,2,8,3,0,5,0,1,0,1.8,-100
California,Valencia,Syria,0,0,0,0,0,0,0,9,0,0,1.8,-100
Colorado,Denver,Pakistan,0,0,0,3,0,0,0,0,9,3,1.8,66.67
Connecticut,Derby,Colombia,0,0,0,0,0,9,0,0,0,0,1.8,-100
Connecticut,Hartford,Central African Republic,0,0,0,0,0,0,0,6,3,0,1.8,-100
Florida,Bradenton,Cuba,4,0,0,0,7,2,0,0,0,0,1.8,-100
Florida,Daytona Beach,Iraq,2,0,0,0,0,0,0,9,0,0,1.8,-100
Florida,Jacksonville,Burundi,10,15,1,0,0,4,0,2,3,0,1.8,-100
Florida,Miami,El Salvador,0,0,0,0,0,0,0,0,9,0,1.8,-100
Florida,Temple Terrace,Iraq,0,0,0,4,0,6,2,1,0,0,1.8,-100
Georgia,Atlanta,Republic of South Sudan,0,0,0,0,0,0,0,7,2,0,1.8,-100
Georgia,Grayson,Iraq,4,1,0,0,7,2,0,0,0,0,1.8,-100
Georgia,Lilburn,Cuba,0,0,3,0,2,7,0,0,0,0,1.8,-100
Illinois,Carol Stream,Ethiopia,0,0,0,1,4,4,0,1,0,0,1.8,-100
Illinois,Naperville,Iraq,0,2,0,0,3,6,0,0,0,0,1.8,-100
Illinois,Tinley Park,Iraq,0,1,0,0,9,0,0,0,0,0,1.8,-100
Illinois,Wheaton,"Korea, North",0,0,0,0,0,0,0,4,5,0,1.8,-100
Indiana,Indianapolis,Moldova,0,0,0,0,0,0,0,0,9,0,1.8,-100
Iowa,Cedar Rapids,Somalia,0,0,0,0,0,9,0,0,0,0,1.8,-100
Iowa,Cedar Rapids,Sudan,0,0,0,0,0,7,0,2,0,0,1.8,-100
Iowa,Urbandale,Iraq,0,0,0,0,0,0,0,8,1,0,1.8,-100
Kansas,Overland Park,Syria,0,0,0,0,0,0,5,0,4,0,1.8,-100
Kentucky,Lexington,Rwanda,0,0,0,0,0,0,0,0,9,0,1.8,-100
Kentucky,Mayfield,Somalia,0,0,0,0,0,0,0,7,2,0,1.8,-100
Louisiana,Kenner,Iraq,0,0,4,0,0,4,0,5,0,0,1.8,-100
Louisiana,Lafayette,Cuba,35,22,0,2,7,2,0,0,0,0,1.8,-100
Maine,Lewiston,Central African Republic,0,0,0,0,3,0,0,6,0,0,1.8,-100
Maine,Lewiston,Ethiopia,0,0,0,0,0,0,0,9,0,0,1.8,-100
Maryland,Columbia,Iran,3,2,0,2,1,0,0,5,3,0,1.8,-100
Maryland,Dundalk,Bhutan,0,0,0,0,1,8,0,0,0,0,1.8,-100
Maryland,Hyattsville,Afghanistan,0,0,0,0,0,0,0,0,9,0,1.8,-100
Maryland,Hyattsville,Iran,0,0,0,0,0,0,0,0,9,0,1.8,-100
Maryland,Hyattsville,Syria,0,0,0,0,0,0,0,0,9,0,1.8,-100
Maryland,Montgomery Village,Ethiopia,0,0,0,0,5,0,4,0,0,0,1.8,-100
Maryland,Riverdale,Sri Lanka (Ceylon),0,0,0,0,0,0,0,9,0,0,1.8,-100
Maryland,Rockville,Iran,2,2,1,4,5,1,3,0,0,0,1.8,-100
Maryland,Silver Spring,Honduras,0,0,0,0,0,0,0,4,5,1,1.8,-44.44
Massachusetts,Boston,Bhutan,40,64,13,8,9,0,0,0,0,0,1.8,-100
Massachusetts,Boston,El Salvador,0,0,0,0,0,0,0,0,9,0,1.8,-100
Massachusetts,Everett,Iraq,0,0,0,0,0,0,9,0,0,0,1.8,-100
Massachusetts,Nantucket,El Salvador,0,0,0,0,0,0,0,0,9,0,1.8,-100
Massachusetts,Northampton,Dem. Rep. Congo,0,0,0,0,0,0,0,0,9,26,1.8,1344.44
Massachusetts,South Boston,Syria,0,0,0,0,0,0,4,5,0,0,1.8,-100
Massachusetts,Westfield,Syria,0,0,0,0,0,0,0,9,0,0,1.8,-100
Michigan,Bloomfield Township,Iraq,0,0,0,0,0,7,0,0,2,0,1.8,-100
Michigan,Charter Township,Iraq,0,0,0,0,3,1,2,3,0,0,1.8,-100
Michigan,Lansing,Rwanda,0,0,0,0,0,0,9,0,0,0,1.8,-100
Michigan,Lansing,Sri Lanka (Ceylon),0,0,0,0,0,0,9,0,0,0,1.8,-100
Michigan,Madison Heights,Iran,0,0,0,0,0,1,1,0,7,0,1.8,-100
Michigan,Saginaw,Iraq,1,0,2,0,6,3,0,0,0,0,1.8,-100
Michigan,Traverse City,Ukraine,0,1,0,0,0,0,5,0,4,22,1.8,1122.22
Minnesota,Clarks Grove,Burma,0,0,0,0,0,0,1,8,0,0,1.8,-100
Minnesota,Minneapolis,Cambodia,0,0,0,0,5,4,0,0,0,0,1.8,-100
Minnesota,Minneapolis,Congo,3,0,0,0,6,3,0,0,0,0,1.8,-100
Minnesota,Minneapolis,Sri Lanka (Ceylon),0,0,0,0,0,0,9,0,0,0,1.8,-100
Minnesota,Ramsey,Moldova,3,0,0,0,6,0,0,3,0,0,1.8,-100
Minnesota,Richfield,Sudan,0,0,0,0,0,0,0,0,9,0,1.8,-100
Minnesota,Shakopee,Kazakhstan,7,0,0,0,0,0,0,9,0,0,1.8,-100
Minnesota,St. Paul,El Salvador,0,0,0,0,0,0,0,3,6,5,1.8,177.78
Missouri,Columbia,Republic of South Sudan,0,0,0,0,0,0,0,9,0,0,1.8,-100
Missouri,Gladstone,Iraq,0,0,0,6,0,5,4,0,0,0,1.8,-100
Missouri,St. Louis,Republic of South Sudan,0,0,0,0,0,0,0,9,0,0,1.8,-100
Nebraska,Lincoln,Dem. Rep. Congo,7,10,0,0,0,0,9,0,0,0,1.8,-100
Nebraska,South Sioux City,Ethiopia,0,0,0,0,0,6,0,0,3,0,1.8,-100
Nevada,Las Vegas,Ivory Coast,0,0,0,0,0,8,0,1,0,0,1.8,-100
New Hampshire,Manchester,Eritrea,0,0,0,0,0,0,1,0,8,0,1.8,-100
New Jersey,Atlantic City,Burma,55,5,3,0,8,1,0,0,0,0,1.8,-100
New Jersey,Elizabeth,Somalia,0,0,0,0,0,0,5,4,0,0,1.8,-100
New Jersey,Millville,Ukraine,0,0,0,0,0,0,5,0,4,0,1.8,-100
New Jersey,Moorestown,Iraq,0,5,4,6,3,6,0,0,0,0,1.8,-100
New Jersey,Oaklyn,Syria,0,0,0,0,0,0,0,9,0,0,1.8,-100
New Jersey,Plainfield,Iraq,0,4,0,0,9,0,0,0,0,0,1.8,-100
New York,Albany,Iran,0,0,0,0,1,3,2,1,2,0,1.8,-100
New York,Albany,Ukraine,0,0,0,0,0,0,4,0,5,0,1.8,-100
New York,Astoria,Iraq,5,1,0,0,9,0,0,0,0,0,1.8,-100
New York,Buffalo,Ivory Coast,0,0,0,0,0,0,7,2,0,0,1.8,-100
North Carolina,Charlotte,Ethiopia,0,0,2,1,0,0,4,2,3,2,1.8,11.11
North Carolina,Durham,Bhutan,43,34,31,5,6,0,0,3,0,0,1.8,-100
North Carolina,Greensboro,Uganda,0,0,0,0,0,0,6,3,0,3,1.8,66.67
North Carolina,Knightdale,Burma,0,0,0,0,0,5,1,3,0,0,1.8,-100
North Dakota,Fargo,Cambodia,0,0,0,0,0,9,0,0,0,0,1.8,-100
North Dakota,Fargo,Syria,0,0,0,0,0,0,0,9,0,0,1.8,-100
North Dakota,Grand Forks,Ethiopia,0,6,1,0,0,1,4,4,0,0,1.8,-100
Ohio,Barberton,Iraq,0,0,0,0,0,0,5,0,4,0,1.8,-100
Ohio,Canton,Pakistan,0,0,0,0,0,3,6,0,0,3,1.8,66.67
Ohio,Columbus,Palestine,0,23,5,0,0,0,0,0,9,0,1.8,-100
Ohio,Huber Heights,Rwanda,0,0,0,0,0,0,9,0,0,0,1.8,-100
Ohio,Mount Healthy,Bhutan,0,0,0,0,0,0,0,6,3,3,1.8,66.67
Oklahoma,Sand Springs,Ukraine,0,0,0,0,0,0,9,0,0,0,1.8,-100
Oklahoma,Stillwater,Iraq,0,2,2,1,0,0,4,5,0,0,1.8,-100
Oregon,Gresham,Moldova,3,11,5,3,1,0,4,4,0,0,1.8,-100
Oregon,Keizer,Somalia,0,0,0,0,0,0,0,0,9,0,1.8,-100
Oregon,Portland,Colombia,0,0,0,0,0,0,9,0,0,0,1.8,-100
Oregon,Portland,Palestine,0,2,2,0,0,0,0,6,3,0,1.8,-100
Oregon,Tualatin,Burma,0,0,0,0,9,0,0,0,0,0,1.8,-100
Oregon,Tualatin,Iraq,0,0,0,0,0,0,2,7,0,0,1.8,-100
Pennsylvania,Allentown,Ethiopia,0,0,0,0,0,9,0,0,0,0,1.8,-100
Pennsylvania,Lancaster,Central African Republic,0,0,0,0,0,0,8,0,1,0,1.8,-100
Pennsylvania,Lancaster,Republic of South Sudan,0,0,0,0,0,5,0,0,4,0,1.8,-100
Pennsylvania,Trevose,Ukraine,0,0,0,0,0,7,2,0,0,0,1.8,-100
South Carolina,Columbia,Ukraine,0,0,8,0,0,9,0,0,0,0,1.8,-100
South Carolina,Woodruff,Belarus,0,0,0,0,0,0,0,9,0,0,1.8,-100
Tennessee,Antioch,Iran,8,0,8,19,3,3,1,0,2,0,1.8,-100
Tennessee,Hendersonville,Burma,0,1,0,0,1,4,4,0,0,0,1.8,-100
Tennessee,Knoxville,Ethiopia,0,1,0,10,6,3,0,0,0,0,1.8,-100
Tennessee,Memphis,Cuba,0,1,0,0,2,5,0,0,2,0,1.8,-100
Tennessee,Murfreesboro,Iran,4,4,1,0,0,2,6,0,1,0,1.8,-100
Texas,Arlington,Cuba,0,7,0,0,4,1,0,0,4,0,1.8,-100
Texas,Austin,El Salvador,0,0,0,0,0,0,0,3,6,0,1.8,-100
Texas,Dallas,Liberia,10,8,3,0,3,4,1,0,1,0,1.8,-100
Texas,Denton,Iraq,0,4,0,0,1,6,0,2,0,0,1.8,-100
Texas,Grand Prairie,Dem. Rep. Congo,0,0,0,0,9,0,0,0,0,0,1.8,-100
Texas,Houston,Central African Republic,0,4,0,0,9,0,0,0,0,0,1.8,-100
Texas,Houston,Togo,0,0,0,0,0,0,0,9,0,0,1.8,-100
Texas,Manvel,Iraq,0,0,0,0,0,0,0,9,0,0,1.8,-100
Utah,Hyrum,Burma,0,0,0,2,3,1,5,0,0,0,1.8,-100
Utah,Kearns,Republic of South Sudan,0,0,0,0,0,0,0,0,9,0,1.8,-100
Utah,Millcreek,Burma,0,0,7,0,0,0,5,0,4,0,1.8,-100
Utah,Salt Lake City,Palestine,0,13,3,5,9,0,0,0,0,0,1.8,-100
Utah,West Jordan,Moldova,0,0,0,0,9,0,0,0,0,0,1.8,-100
Virginia,Arlington,Sudan,4,0,0,0,9,0,0,0,0,0,1.8,-100
Virginia,Centreville,Iran,4,7,0,0,4,5,0,0,0,0,1.8,-100
Virginia,Charlottesville,Congo,2,2,0,0,8,0,0,0,1,0,1.8,-100
Virginia,Fairfax,Iran,16,4,6,1,1,0,1,1,6,0,1.8,-100
Virginia,Fairfax,Somalia,6,0,0,0,2,7,0,0,0,0,1.8,-100
Virginia,Newport News,Pakistan,0,0,0,0,0,0,0,6,3,0,1.8,-100
Virginia,Richmond,Ethiopia,1,7,0,0,0,1,0,4,4,0,1.8,-100
Virginia,Richmond,Pakistan,19,1,6,6,8,0,0,0,1,9,1.8,400
Virginia,Roanoke,Pakistan,0,6,0,0,5,0,0,4,0,0,1.8,-100
Washington,Auburn,Moldova,0,0,0,0,0,0,0,3,6,0,1.8,-100
Washington,Bothell,Iran,4,3,0,0,1,0,3,4,1,0,1.8,-100
Washington,Everett,Somalia,0,0,4,0,9,0,0,0,0,0,1.8,-100
Washington,Kennewick,Syria,0,0,0,0,0,0,0,0,9,0,1.8,-100
Washington,Seatac,Ethiopia,0,2,0,0,0,3,3,3,0,10,1.8,455.56
Washington,Seattle,Vietnam,34,10,3,0,0,9,0,0,0,0,1.8,-100
Washington,Spokane,Kazakhstan,0,8,0,0,0,0,0,9,0,2,1.8,11.11
Washington,Tacoma,Iraq,0,4,0,0,6,0,1,0,2,0,1.8,-100
Washington,Tacoma,Vietnam,14,3,0,0,3,0,0,6,0,0,1.8,-100
Wisconsin,Milwaukee,Vietnam,0,11,0,4,0,2,0,0,7,0,1.8,-100
Alaska,Anchorage,Republic of South Sudan,0,0,0,0,0,0,0,1,7,0,1.6,-100
Arizona,El Mirage,Iraq,9,0,0,0,7,1,0,0,0,0,1.6,-100
Arizona,Tempe,Somalia,6,0,0,1,0,7,0,1,0,0,1.6,-100
California,Anaheim,Burma,14,16,22,8,6,0,2,0,0,0,1.6,-100
California,Antelope,Russia,5,0,0,0,0,0,7,1,0,0,1.6,-100
California,Chino,Pakistan,0,0,0,0,7,1,0,0,0,0,1.6,-100
California,Corona,Iran,9,0,7,0,6,0,0,2,0,0,1.6,-100
California,Costa Mesa,Iran,1,0,0,0,8,0,0,0,0,0,1.6,-100
California,Duarte,Syria,0,0,0,0,0,0,0,0,8,0,1.6,-100
California,Garden Grove,Somalia,0,0,0,0,0,5,3,0,0,0,1.6,-100
California,Glendale,Russia,0,0,0,0,0,0,0,0,8,2,1.6,25
California,Inglewood,Somalia,1,0,2,1,0,0,2,6,0,0,1.6,-100
California,Lake Forest,Iraq,5,0,0,0,0,4,4,0,0,0,1.6,-100
California,Los Angeles,Dem. Rep. Congo,0,0,0,0,0,0,0,8,0,0,1.6,-100
California,Los Angeles,Moldova,0,0,0,0,0,4,0,0,4,0,1.6,-100
California,Palmdale,Iran,1,0,0,6,6,0,2,0,0,0,1.6,-100
