"GEO_ID","NAME","B05002_001E","B05002_001M","B05002_002E","B05002_002M","B05002_003E","B05002_003M","B05002_004E","B05002_004M","B05002_005E","B05002_005M","B05002_006E","B05002_006M","B05002_007E","B05002_007M","B05002_008E","B05002_008M","B05002_009E","B05002_009M","B05002_010E","B05002_010M","B05002_011E","B05002_011M","B05002_012E","B05002_012M","B05002_013E","B05002_013M","B05002_014E","B05002_014M","B05002_015E","B05002_015M","B05002_016E","B05002_016M","B05002_017E","B05002_017M","B05002_018E","B05002_018M","B05002_019E","B05002_019M","B05002_020E","B05002_020M","B05002_021E","B05002_021M","B05002_022E","B05002_022M","B05002_023E","B05002_023M","B05002_024E","B05002_024M","B05002_025E","B05002_025M","B05002_026E","B05002_026M","B05002_027E","B05002_027M"
"0500000US08083","Montezuma County, Colorado","25700","*****","24993","184","10911","668","13937","676","1189","228","3176","383","2177","321","7395","616","145","61","0","21","0","21","145","61","707","184","329","126","38","48","66","41","3","6","0","21","222","111","0","21","378","135","135","105","89","56","14","19","0","21","111","67","29","34"
"0500000US08085","Montrose County, Colorado","40815","*****","37883","420","18702","641","18802","599","2096","276","5642","522","4066","551","6998","588","379","150","31","47","76","103","272","116","2932","420","980","236","50","36","204","70","1","4","7","12","680","216","38","37","1952","379","90","65","84","132","0","24","58","76","1663","337","57","62"
"0500000US08087","Morgan County, Colorado","28359","*****","24753","357","16301","657","8135","552","461","120","3572","348","1991","375","2111","280","317","172","18","27","9","9","290","175","3606","357","942","202","119","68","31","30","58","45","0","21","734","181","0","21","2664","384","14","11","142","123","223","113","0","21","2285","376","0","21"
"0500000US08089","Otero County, Colorado","18572","*****","17556","251","12400","548","5077","448","248","98","1774","260","1221","240","1834","283","79","51","10","16","0","18","69","52","1016","251","303","130","36","32","57","33","0","18","0","18","210","117","0","18","713","192","12","13","59","29","15","20","90","72","515","166","22","24"
"0500000US08091","Ouray County, Colorado","4580","*****","4458","48","1042","180","3369","190","473","142","951","159","648","131","1297","208","47","29","0","11","0","11","47","29","122","48","40","24","20","19","0","11","4","7","0","11","11","12","5","7","82","44","52","31","0","11","3","5","0","11","23","31","4","6"
"0500000US08093","Park County, Colorado","16189","*****","15497","290","5054","412","10296","410","1478","235","3959","434","2164","359","2695","365","147","94","0","18","0","18","147","94","692","290","271","119","108","77","89","74","0","18","25","39","12","18","37","32","421","217","141","97","64","82","0","18","0","18","144","135","72","86"
"0500000US08095","Phillips County, Colorado","4371","*****","3979","137","2718","171","1241","152","63","30","722","127","210","73","246","70","20","17","0","11","0","11","20","17","392","137","145","48","6","7","24","22","0","11","0","11","115","41","0","11","247","137","0","11","0","11","0","11","0","11","246","137","1","2"
"0500000US08097","Pitkin County, Colorado","17420","*****","15372","384","4472","517","10777","636","2764","447","3202","453","2214","414","2597","511","123","83","0","18","0","18","123","83","2048","384","649","265","225","97","92","65","42","48","12","16","256","192","22","25","1399","381","236","158","141","141","96","102","157","123","679","248","90","121"
"0500000US08099","Prowers County, Colorado","12235","*****","10893","300","7518","356","3353","288","160","72","1556","248","923","173","714","127","22","17","0","18","0","18","22","17","1342","300","293","119","10","10","36","40","20","37","0","18","217","103","10","15","1049","254","25","26","57","56","6","8","0","18","961","249","0","18"
"0500000US08101","Pueblo County, Colorado","161519","*****","155191","630","104001","1470","49386","1396","4443","431","15408","808","11816","799","17719","776","1804","261","271","129","30","33","1503","245","6328","630","2396","298","583","154","624","139","55","40","3","5","1050","243","81","49","3932","567","374","161","276","116","27","24","11","19","3154","518","90","47"
"0500000US08103","Rio Blanco County, Colorado","6712","*****","6408","90","3415","253","2975","253","207","105","696","119","673","138","1399","215","18","20","0","16","14","18","4","7","304","90","145","69","19","17","6","13","6","13","42","59","72","36","0","16","159","63","0","16","0","16","0","16","0","16","159","63","0","16"
"0500000US08105","Rio Grande County, Colorado","11745","*****","10915","238","6941","352","3831","295","235","78","1107","194","1150","234","1339","236","143","125","8","20","0","18","135","123","830","238","409","188","73","63","4","7","3","6","0","18","324","182","5","9","421","158","11","16","0","18","0","18","0","18","410","158","0","18"
"0500000US08107","Routt County, Colorado","23606","*****","22236","407","8647","446","13245","534","3691","471","4160","436","2272","264","3122","437","344","108","4","8","37","34","303","105","1370","407","449","200","182","110","94","74","19","25","35","37","110","119","9","16","921","370","356","330","39","58","7","11","16","17","391","152","112","76"
"0500000US08109","Saguache County, Colorado","6238","*****","5518","122","3016","276","2476","238","474","116","834","152","513","124","655","131","26","23","0","16","0","16","26","23","720","122","227","82","43","28","66","56","0","16","0","16","118","50","0","16","493","107","29","31","0","16","3","5","17","24","430","92","14","14"
"0500000US08111","San Juan County, Colorado","606","92","594","90","212","48","382","86","52","28","137","61","74","38","119","48","0","11","0","11","0","11","0","11","12","13","3","4","0","11","0","11","0","11","3","4","0","11","0","11","9","12","0","11","0","11","0","11","0","11","9","12","0","11"
"0500000US08113","San Miguel County, Colorado","7676","*****","7123","118","2054","234","4979","275","1106","204","1547","175","1062","240","1264","247","90","58","0","16","0","16","90","58","553","118","207","75","83","47","17","19","0","16","0","16","93","51","14","13","346","93","36","28","16","19","0","16","28","33","247","70","19","25"
"0500000US08115","Sedgwick County, Colorado","2365","*****","2276","42","1347","88","919","84","47","22","599","88","143","44","130","34","10","9","4","6","0","11","6","6","89","42","32","21","13","15","7","6","0","11","0","11","12","13","0","11","57","38","3","5","7","10","0","11","0","11","47","37","0","11"
"0500000US08117","Summit County, Colorado","28940","*****","25530","634","7748","663","17410","674","3936","584","7235","787","3458","660","2781","481","372","163","56","77","1","2","315","137","3410","634","1060","333","257","143","197","121","172","154","35","30","244","149","155","125","2350","473","124","64","48","85","5","12","46","54","2111","458","16","26"
"0500000US08119","Teller County, Colorado","23340","*****","22715","155","7311","586","15079","570","1845","332","6312","588","3251","412","3671","489","325","115","12","18","0","21","313","116","625","155","397","127","226","104","114","33","0","21","0","21","39","42","18","26","228","106","73","55","46","62","0","21","0","21","100","64","9","10"
"0500000US08121","Washington County, Colorado","4795","*****","4641","63","3284","146","1310","148","59","23","600","81","167","60","484","132","47","24","5","7","2","4","40","23","154","63","50","29","9","7","9","15","0","11","0","11","32","21","0","11","104","59","7","7","7","11","2","4","0","11","82","51","6","9"
"0500000US08123","Weld County, Colorado","270948","*****","248650","1228","145359","1999","100601","2043","10565","725","38425","1326","21490","1171","30121","1415","2690","404","147","107","28","36","2515","406","22298","1228","8060","663","736","154","1327","180","195","95","21","23","5647","611","134","55","14238","1014","553","194","1120","250","436","128","53","43","11697","834","379","166"
"0500000US08125","Yuma County, Colorado","10185","*****","9134","227","6111","409","2977","348","170","74","1388","284","505","194","914","263","46","54","0","18","0","18","46","54","1051","227","239","109","43","44","28","33","0","18","0","18","168","95","0","18","812","216","5","8","4","6","0","18","0","18","784","210","19","28"
