state,city,origin,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,avg5years,pct_change_2018_vs_5yr_average
Colorado,Denver,"Korea, North",2,0,2,5,1,0,2,1,1,0,1,-100
Colorado,Denver,Uganda,0,1,0,0,2,0,2,0,1,0,1,-100
Colorado,Edgewater,Iraq,0,5,0,0,5,0,0,0,0,0,1,-100
Colorado,Lakewood,Eritrea,0,0,0,0,0,0,0,0,5,9,1,800
Colorado,Thornton,Syria,0,0,0,0,0,0,0,5,0,0,1,-100
Colorado,Arvada,Burma,0,0,0,1,3,1,0,0,0,0,0.8,-100
Colorado,Aurora,Gambia,0,0,0,0,0,0,0,0,4,0,0.8,-100
Colorado,Aurora,Nepal,0,0,0,1,0,3,1,0,0,0,0.8,-100
Colorado,Colorado Springs,Sudan,0,0,0,0,0,0,0,0,4,0,0.8,-100
Colorado,Commerce City,Ukraine,0,2,0,0,0,0,4,0,0,0,0.8,-100
Colorado,Denver,Sri Lanka (Ceylon),0,3,0,0,2,2,0,0,0,0,0.8,-100
Colorado,Henderson,Afghanistan,0,0,0,0,4,0,0,0,0,0,0.8,-100
Colorado,Lafayette,Burma,0,0,1,1,3,0,0,0,1,0,0.8,-100
Colorado,Lakewood,Sudan,0,0,0,4,0,3,0,0,1,0,0.8,-100
Colorado,Boulder,Republic of South Sudan,0,0,0,0,0,0,0,3,0,0,0.6,-100
Colorado,Centennial,Eritrea,0,0,0,0,0,0,3,0,0,0,0.6,-100
Colorado,Colorado Springs,Colombia,0,0,0,0,0,0,0,0,3,0,0.6,-100
Colorado,Colorado Springs,Ethiopia,0,0,0,0,0,0,0,3,0,5,0.6,733.33
Colorado,Colorado Springs,Pakistan,0,0,0,0,0,0,0,3,0,0,0.6,-100
Colorado,Colorado Springs,Ukraine,0,0,0,0,0,0,0,0,3,0,0.6,-100
Colorado,Denver,Bangladesh,0,0,0,0,0,2,0,0,1,2,0.6,233.33
Colorado,Denver,Republic of South Sudan,0,0,0,0,0,0,0,3,0,0,0.6,-100
Colorado,El Jebel,El Salvador,0,0,0,0,0,0,0,0,3,0,0.6,-100
Colorado,Greeley,Cuba,0,0,0,0,0,3,0,0,0,0,0.6,-100
Colorado,Greeley,Dem. Rep. Congo,0,10,0,0,0,0,0,0,3,20,0.6,3233.33
Colorado,Snowmass,El Salvador,0,0,0,0,0,0,0,0,3,0,0.6,-100
Colorado,Thornton,Eritrea,0,0,0,0,0,0,3,0,0,0,0.6,-100
Colorado,Aurora,Iran,0,0,0,5,0,0,2,0,0,0,0.4,-100
Colorado,Aurora,Rwanda,0,1,0,0,0,0,0,2,0,1,0.4,150
Colorado,Denver,Cameroon,0,0,0,0,0,0,0,1,1,2,0.4,400
Colorado,Denver,Egypt,1,0,0,0,2,0,0,0,0,0,0.4,-100
Colorado,Denver,Honduras,0,0,0,0,0,0,0,2,0,0,0.4,-100
Colorado,Denver,Kazakhstan,0,0,0,0,0,0,2,0,0,0,0.4,-100
Colorado,Fort Morgan,Ethiopia,0,0,0,0,0,0,0,1,1,0,0.4,-100
Colorado,Glendale,Eritrea,0,1,0,0,0,2,0,0,0,0,0.4,-100
Colorado,Glenwood Springs,El Salvador,0,0,0,0,0,0,0,0,2,0,0.4,-100
Colorado,Grand Junction,Burma,0,0,0,0,0,0,0,2,0,0,0.4,-100
Colorado,Greeley,Bangladesh,0,0,0,0,0,0,0,0,2,0,0.4,-100
Colorado,Greeley,El Salvador,0,0,0,0,0,0,0,0,2,0,0.4,-100
Colorado,Greeley,Iran,0,0,0,0,0,0,0,2,0,0,0.4,-100
Colorado,Greeley,Kenya,0,0,0,0,0,1,0,0,1,0,0.4,-100
Colorado,Henderson,Ukraine,0,0,0,0,0,0,0,2,0,0,0.4,-100
Colorado,Lakewood,Iran,0,0,0,0,0,0,0,2,0,0,0.4,-100
Colorado,Westminster,Iran,0,0,0,0,0,2,0,0,0,0,0.4,-100
Colorado,Aurora,Georgia,0,0,0,0,0,0,0,1,0,0,0.2,-100
Colorado,Aurora,Senegal,0,0,0,0,0,0,0,1,0,0,0.2,-100
Colorado,Boulder,Burma,5,0,0,0,0,1,0,0,0,0,0.2,-100
Colorado,Broomfield,Iran,0,0,0,0,1,0,0,0,0,0,0.2,-100
Colorado,Colorado Springs,Russia,0,0,5,0,0,0,0,1,0,0,0.2,-100
Colorado,Colorado Springs,Sri Lanka (Ceylon),0,0,0,0,0,0,1,0,0,0,0.2,-100
Colorado,Colorado Springs,Syria,0,0,0,0,0,1,0,0,0,0,0.2,-100
Colorado,Denver,Canada,0,0,0,0,1,0,0,0,0,0,0.2,-100
Colorado,Denver,Guatemala,0,0,0,0,0,0,0,0,1,0,0.2,-100
Colorado,Denver,Liberia,0,1,0,0,0,1,0,0,0,0,0.2,-100
Colorado,Denver,Libya,0,0,1,0,1,0,0,0,0,0,0.2,-100
Colorado,Denver,Mali,0,0,0,0,0,0,0,0,1,0,0.2,-100
Colorado,Denver,Saudi Arabia,0,0,0,0,0,0,1,0,0,0,0.2,-100
Colorado,Denver,Senegal,0,0,0,2,0,0,1,0,0,0,0.2,-100
Colorado,Denver,Zimbabwe,0,5,0,0,0,0,1,0,0,1,0.2,400
Colorado,Englewood,Iran,0,0,0,0,0,1,0,0,0,0,0.2,-100
Colorado,Fort Collins,Iraq,6,3,0,0,1,0,0,0,0,0,0.2,-100
Colorado,Fort Morgan,Congo,0,0,0,0,0,1,0,0,0,0,0.2,-100
Colorado,Greeley,Uganda,0,0,0,0,0,0,1,0,0,0,0.2,-100
Colorado,Lakewood,Cuba,0,0,0,0,0,1,0,0,0,0,0.2,-100
Colorado,Lakewood,Ukraine,0,0,0,0,0,0,0,1,0,0,0.2,-100
Colorado,Lakewood,Yemen,0,0,0,0,0,0,0,0,1,0,0.2,-100
Colorado,Littleton,Burma,0,6,4,0,1,0,0,0,0,0,0.2,-100
Colorado,Thornton,Burma,4,0,0,0,0,1,0,0,0,0,0.2,-100
Colorado,Thornton,Iraq,3,0,0,0,1,0,0,0,0,0,0.2,-100
Colorado,Westminster,Iraq,0,0,0,0,1,0,0,0,0,0,0.2,-100
Colorado,Westminster,Ukraine,0,0,0,0,0,1,0,0,0,0,0.2,-100
Colorado,Aurora,Sri Lanka (Ceylon),0,0,2,4,0,0,0,0,0,0,0,
Colorado,Aurora,Sudan,0,3,0,5,0,0,0,0,0,0,0,
Colorado,Aurora,Vietnam,4,0,0,0,0,0,0,0,0,0,0,
Colorado,Broomfield,Vietnam,4,3,0,0,0,0,0,0,0,0,0,
Colorado,Brush,Somalia,0,0,4,0,0,0,0,0,0,0,0,
Colorado,Centennial,Iran,6,1,0,0,0,0,0,0,0,0,0,
Colorado,Colorado Springs,Congo,0,0,3,0,0,0,0,0,0,0,0,
Colorado,Colorado Springs,Gabon,1,0,0,0,0,0,0,0,0,0,0,
Colorado,Colorado Springs,Ghana,1,0,0,0,0,0,0,0,0,0,0,
Colorado,Colorado Springs,Kazakhstan,0,0,5,0,0,0,0,0,0,0,0,
Colorado,Colorado Springs,Liberia,1,0,3,0,0,0,0,0,0,0,0,
Colorado,Colorado Springs,Sierra Leone,1,0,0,0,0,0,0,0,0,0,0,
Colorado,Commerce City,Afghanistan,0,1,0,0,0,0,0,0,0,0,0,
Colorado,Commerce City,Liberia,4,0,0,0,0,0,0,0,0,0,0,
Colorado,Commerce City,Russia,5,0,0,0,0,0,0,0,0,0,0,
Colorado,Denver,Chad,0,0,0,3,0,0,0,0,0,0,0,
Colorado,Denver,Gambia,0,1,0,0,0,0,0,0,0,0,0,
Colorado,Denver,Ivory Coast,2,0,0,2,0,0,0,0,0,0,0,
