,2010* 5-year estimte, , ,,2000,,,,1990*,,,,1980*,,,,1970*,,,,1960*,,,,1950*, ,,,1940,,,,1930, ,,,1920,,,,1910,,,,1900,,,,1890, ,,,1880,,,,1870,,,,1860,,,,1850,,,
"Region, division, and state",Total,Native,Foreign born,Foreign born percent,Total,Native,Foreign born,Foreign born percent,Total,Native,Foreign born,Foreign born percent,Total,Native,Foreign born,Foreign born percent,Total,Native,Foreign born,Foreign born percent,Total,Native,Foreign born,Foreign born percent,Total,Native,Foreign born,Foreign born percent,Total,Native,Foreign born,Foreign born percent,Total,Native,Foreign born,Foreign born percent,Total,Native,Foreign born,Foreign born percent,Total,Native,Foreign born,Foreign born percent,Total,Native,Foreign born,Foreign born percent,Total,Native,Foreign born,Foreign born percent,Total,Native,Foreign born,,Total,Native,Foreign born,Foreign born percent,Total,Native,Foreign born,Foreign born percent,Total,Native,Foreign born,Foreign born percent
,,,,,,,,,,,,,,,,,2616556,2603305,13251,0.5,2337885,2322237,15648,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2646248,2630187,16061,0.6,2348174,2330147,18027,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2009821,2001776,8045,0.4,1790618,1782210,8408,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1854482,1843850,10632,0.6,1752204,1738067,14137,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2101593,2064517,37076,1.8,1798509,1752082,46427,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2396040,2365482,30558,1.3,2028283,1987851,40432,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5824715,5462428,362287,6.2,4663228,4299396,363832,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,537606,461703,75903,14.1,548889,453298,95591,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,445032,412748,32284,7.3,431866,391119,40747,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,225565,202222,23343,10.3,194402,167835,26567,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1035791,935916,99875,9.6,939629,820491,119138,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,423317,399265,24052,5.7,360350,330542,29808,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,435573,369817,65756,15.1,334162,253596,80566,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,507847,459832,48015,9.5,449396,390196,59200,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,91058,75963,15095,16.6,77407,61404,16003,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1563396,1308138,255258,16.3,1356621,1091329,265292,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,953786,843346,110440,11.6,783389,675745,107644,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5677251,4603287,1073964,18.9,3426861,2669236,757625,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,(X),(X),(X),(X),(X),(X),(X),(X),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,(X),(,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
