,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2017,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Denver-Aurora-Lakewood, CO",,,,
3,,,,,
4,Characteristic,Total,Female,Male,Unknown
5,Total,9798,5236,4562,-
6,,,,,
7,New arrivals,4610,2417,2193,-
8,Adjustments of status,5188,2819,2369,-
9,,,,,
10,Age,,,,
11,Under 18 years,1814,894,920,-
12,18 to 24 years,1265,702,563,-
13,25 to 34 years,2639,1388,1251,-
14,35 to 44 years,1742,875,867,-
15,45 to 54 years,1213,698,515,-
16,55 to 64 years,667,424,243,-
17,65 years and over,458,255,203,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Married,5985,3324,2661,-
22,Single,3304,1542,1762,-
23,Other,433,347,86,-
24,Unknown,76,23,53,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",914,351,563,-
28,Service occupations,334,145,189,-
29,Sales and office occupations,319,170,149,-
30,"Farming, fishing, and forestry occupations",92,14,78,-
31,"Construction, extraction, maintenance and repair occupations",180,3,177,-
32,"Production, transportation, and material moving occupations",466,90,376,-
33,Military,-,-,-,-
34,No occupation/not working outside home,4238,2777,1461,-
35,Homemakers,1205,1153,52,-
36,Students or children,2146,1057,1089,-
37,Retirees,76,50,26,-
38,Unemployed,811,517,294,-
39,Unknown,3255,1686,1569,-
40,,,,,
41,Broad class of admission,,,,
42,Immediate relatives of U.S. citizens,4766,2752,2014,-
43,Family-sponsored preferences,1409,760,649,-
44,Employment-based preferences,827,395,432,-
45,Diversity,765,325,440,-
46,Refugees and asylees,1420,681,739,-
47,Other,611,323,288,-
48,,,,,
49,Leading countries of birth,,,,
50,Afghanistan,279,134,145,-
51,Burma,260,109,151,-
52,Canada,125,63,62,-
53,"China, People's Republic",332,198,134,-
54,"Congo, Democratic Republic",169,89,80,-
55,Cuba,96,39,57,-
56,El Salvador,120,67,53,-
57,Ethiopia,656,360,296,-
58,Ghana,142,78,64,-
59,India,317,163,154,-
60,Iraq,289,144,145,-
61,"Korea, South",161,83,78,-
62,Mexico,2720,1430,1290,-
63,Nepal,299,150,149,-
64,Philippines,142,105,37,-
65,Russia,131,91,40,-
66,Sudan,106,52,54,-
67,Ukraine,126,72,54,-
68,United Kingdom,120,47,73,-
69,Vietnam,460,282,178,-
70,Other,2746,1478,1268,-
71,Unknown,2,2,-,-
72,D Data withheld to limit disclosure.,,,,
73,- Represents zero.,,,,
74,Source: U.S. Department of Homeland Security.,,,,
